,date,reviewNo,employeeType,position,summary,pro,con,advice,overallStar,workLifeStar,cultureStar,careerOppStar,comBenefitsStar,srManagementStar,reviewLink
11," Sep 11, 2017",empReview_16771961,Current Employee - Anonymous Employee,I have been working at Snap full-time,Story Editor,"Amazing people, creative atmosphere, food benefits","Poor management, employee moral is low and treatment isn't fair",None,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW16771961.htm
12," Sep 18, 2017",empReview_16888641,Current Employee - Software Engineer,I have been working at Snap full-time (More than a year),Great Engineers Marred by Poor Management,-Small teams so lots of responsibility-Lots of smart and kind people-Competitive compensation (though stock vesting is backloaded to encourage 4 years),"-Culture is toxic and stressful. Think more Amazon than Facebook.-Employees are encouraged to work long hours to make up for lackluster code design, rather than improving the code.-More focused on ops and maintenance than long-term improvements to the product-Very top-down management, with most priorities coming from higher-up management than those closer to the product","Focus on enabling engineers to be more productive, rather than trying to meet specific goals through long hours. Be willing to take a temporary hit in order to save time in the long run.",1.0,1.0,1.0,1.0,1.0,1.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW16888641.htm
13," Aug 14, 2017",empReview_16360607,Current Employee - Android Developer,I have been working at Snap full-time (Less than a year),Great job,"Good people, interesting tasks, collaborative colleges","No cons for me, everything's great",None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW16360607.htm
14," Aug 14, 2017",empReview_16358238,Former Employee - Software Engineer,I worked at Snap full-time (More than a year),"great place to work, stale in growth","Venice is the best office place I can think of, really enjoy the work environment. people are smart","facing fierce competition from FB, nervous of company growth around the company",none,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW16358238.htm
15," Aug 14, 2017",empReview_16350085,Current Employee - Anonymous Employee,I have been working at Snap full-time,I like working in Snap,Learning a lot and it's a fun place to work.,Not in North California.,Do better in dealing with Wall Street analyst.,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW16350085.htm
16," Jul 27, 2017",empReview_16107966,Current Employee - Designer,I have been working at Snap full-time (More than a year),I love working at Snap!,Amazing people! Everyone is so nice! Everyone has a voice. Constantly working on cool stuff. Everyones ideas are valid and listened to. Everyone is well-taken care of.,"Fast paced, long work days",Hire more people!,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW16107966.htm
17," Jul 20, 2017",empReview_15994220,Current Employee - Engineer,I have been working at Snap full-time (More than a year),"Fun, Exciting Work","Work on fun, cutting edge products that will have millions of users. Great team with an attitude that anything is possible.","Young company, so structure and processes are still being worked out to operate efficiently.",None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW15994220.htm
18," Aug 22, 2017",empReview_16470431,Former Employee - Anonymous Employee,None,Software Engineer,The location is on the Venice Beach. The rent is low compared with the companies in the Silicon Valley.There are a few good software engineers and good managers from the Valley.,Some groups of managers and directors are biased towards their hires from their previous companies. The toxic culture and the horrible vesting schedule make it a bad place to grow your career.The HR department. There is no mechanism to transfer to a different group if you are working for a bullying boss (which is not rare at Snap).,Be kind to your employees.,1.0,1.0,1.0,1.0,1.0,1.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW16470431.htm
19," Jun 28, 2017",empReview_15675727,Current Employee - Program Manager,I have been working at Snap full-time (More than a year),Excellent Company,Great LocationGreat FoodNice PeopleAwesome space for creativity,"The company tends to be very secretive. Often times products are learned about by employees at the same time as the public. Not the worse thing, however would like more internal communication in the future.",None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW15675727.htm
20," Jun 11, 2017",empReview_15429472,Current Employee - Software Engineer,I have been working at Snap full-time (Less than a year),Amazing perks! Fun place to work!,"- Flexible timings; Good work life balance.- More of ownership culture similar to Google, FB etc.- Salary is good.- Free food with option to dine out at restaurants.- They pay for your phone bill.- Free Gold's gym membership.- Tons of company events like Santa Monica pier party, Cinema screening etc.",Since it's relatively new company there are lot of policies that need time to settle in.,None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW15429472.htm
21," Jun 15, 2017",empReview_15496717,Former Employee - Customer Operations Specialist,I worked at Snap full-time (Less than a year),"Great atmosphere, friendly employees.",Very great job culture as far as the employees. Everyone is creative and outgoing. It's located near the beach (recently moved from Venice to Santa Monica) and happy hours are frequent. Most of the employees are super cool and theres definitely a family vibe.,Work loads can get stressful at times and certain managers are very indirect so it stunts your growth and what you need to work on to improve.,"Be more direct, more honest, and stop running from conflict.",4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW15496717.htm
22," May 17, 2017",empReview_15101018,Current Employee - Anonymous Employee,I have been working at Snap full-time (More than a year),Amazing experience,"Visionary CEO. Not following/copying others but blazing a new trail. Fast-moving, super creative culture. Bringing new technology to the world, and changing the way the world communicates. Kind people. Getting to try new ways of doing things. Supportive peers. Autonomy from management. Cool offices. Free food (on-site at the cafeterias or via food card at local restaurants), great perks (dog walking, surrogacy, and egg-freezing) and free health benefits for my family.","Fast-moving culture--big dreams and huge aspirations. Working on stuff that's never been done before means you have to create your own path. If you're not a smart, kind & humble person, don't bother applying. Jerks get let go within their first month.",This is the best company I've ever worked for and I love working here. Don't let the company culture change as we grow larger.,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW15101018.htm
23," Apr 22, 2017",empReview_14741374,Current Employee - Software Engineer,I have been working at Snap full-time (More than a year),Getting there,"Opportunity to make a large impact for feature development or performance improvementOpportunity to work with smart/entrepreneur peopleGood/Free food/drinks and reasonable allowance to eat from local restaurants as wellStrong intern programStrong salary,stock,refreshment programStrong product review/eng process for releasesVision: Evan Spiegel/Design team is awesome for product vision and discussing new ideasStrong engineering leadershipWork/Life balance is fine. You don't have to work on weekends. It is similar to other large tech companies.Innovative and ambitious culture",Don't have an established campusOffice space sucks compare to Google/MicrosoftNot much established for review/performance systemToo much new grads (but this is changing recently)Leveling system for engineers does not seem rightEach new stock vesting schedule same as initial hiring stockFavoritism for closeness to Evan or Directors/VPs etcNot enough conference rooms,Get out of VeniceToo much designer focusedListen to your engineers for suggestionsDirectors need to have a better management experienceCompetitive strategy is neededStop favoring people and be transparent,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW14741374.htm
24," Jun 1, 2017",empReview_15299694,Current Employee - Anonymous Employee,None,Contractor,Decent easy work but not very stimulating,bad hours hard to work normal hours.,None,3.0,3.0,3.0,3.0,3.0,3.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW15299694.htm
25," Apr 28, 2017",empReview_14836926,Former Employee - Anonymous Employee,I worked at Snap full-time (More than a year),Curation,"Amazing people, good benefits, an unbeatable sense of pride. Worth drinking the Kool-Aid.","Management across the board is too young and inexperienced. Departments are isolated from one another. Employees are treated as invaluable one moment, disposable the next. Extremely high-stress, terrible hours.",Be visible. Improve diversity in the workplace. Be a little more human when dealing with your employees - they will give you so much more when they are taken care of.,3.0,3.0,3.0,3.0,3.0,3.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW14836926.htm
26," Apr 14, 2017",empReview_14629937,Current Employee - Anonymous Employee,None,Intern,Great people who really believe in the product.,It's like building an airplane while flying it and with no GPS.,None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW14629937.htm
27," Apr 18, 2017",empReview_14681655,Current Employee - Anonymous Employee,I have been working at Snap full-time,Content,"It is everchanging, exciting, and a company everyone knows.",job security is not the best.,None,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW14681655.htm
28," Apr 12, 2017",empReview_14608483,Current Employee - Anonymous Employee,I have been working at Snap full-time,Awesome place to work!,I'm surrounded by intelligent and hard-working colleagues who are down to earth and friendly. Great location in Venice and amazing benefits.,The only downside is the offices in Venice are spread apart which means you need to plan for travel time to and from each location. But it's nothing to really complain about.,None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW14608483.htm
29," Apr 25, 2017",empReview_14789117,Former Employee - Software Engineer,I worked at Snap full-time (More than a year),Abusive management.,"Able to work at a fairly rapid pace, though this came at the cost of not writing tests and peer reviews consisted of people just scanning the code. Compensation is fair considering market.","Work/life balance: We are regularly reminded that we're expected to come back online to work after dinner. God help you if your Hipchat dot isn't green. Weekends and working into the morning are a regular thing.Culture: It's said that a company's true culture is defined by those they reward and promote, as opposed to what they tout. And it's evident that Snap values managers who bully and intimidate to motivate their team and robots that blindly follow.Feedback system: Snap has no concept of reviews for peers or for management, so they stay oblivious to problems (perhaps willingly).Code quality: Peer reviews generally consist of someone scanning the code, not running it. No tests are written. This results in bugs slipping through to production apps.Unfortunately these issues seem to come from the top down; they are rooted deeply in the culture of Snap. Leaving Snap was like finally leaving an abusive relationship.","Implement upwards and 360 reviews, don't stay blind to bullying from your management team. You will continue to hemorrhage talent.",1.0,1.0,1.0,1.0,1.0,1.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW14789117.htm
30," Apr 4, 2017",empReview_14489627,Current Employee - Anonymous Employee,I have been working at Snap part-time,Story Editor,The people and location are one of a kind,Part-time is rough when you want to fully engage in Snap culture,None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW14489627.htm
31," Jul 11, 2015",empReview_7190681,Current Employee - Software Engineer,I have been working at Snap full-time (More than a year),Worst experience in my career so far,1. Working at the beach2. Free food3. Learn new things,"1. Work is not very interesting or challenging2. Employees are required to work on very menial tasks, irrespective of their interests3. The user growth for the product is stalling. There is literally no active user growth in the last 5-6 months4. Senior management lacks vision, capability and good team-building skills","Be fair, Be nicer and Be reasonable.",1.0,1.0,1.0,1.0,1.0,1.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW7190681.htm
32," Apr 13, 2015",empReview_6328062,Current Employee - Anonymous Employee,I have been working at Snap full-time,Poor management. Negative culture.,- Free lunch and dinner- Casual attire- Work by the beach- Small company means bigger impact on the user base and on the product,"- Top-level management is churning, most recently our COO- Unpolished CEO who loves to fly off the handle and fire people who disagree with him- Complete secrecy and lack of trust: even as an employee & shareholder you're not allowed to know any information about the company: projects, users, valuation, etc.- Face-time in the office matters. Unlike every other tech company, working from home is frowned upon. But you'll be too scared to ask, so it doesn't matter.- Mandatory Wednesday evening meetings.... seriously.- Very junior leadership across the company- Shocking amounts of red-tape and bureaucracy for such a small company- Negative, fear-driven, top-down culture- Less competitive salaries, benefits, & perks to Silicon Valley competitors (see below)- Horrific equity vesting schedule over 4 years: 10%, 20%, 30%, 40% whereas almost every other company you vest 25% a year for 4 years.- 10 days of PTO a year and 5 sick days (No, I'm not joking, and yes this is 2015. Better not get sick this year... or any year!)- No performance reviews/salary adjustments, etc.- No bonus structure- No 401k matching- All those really cool tech company perks you've heard about: we don't have any of them.- Far from the rest of the tech community in the Silicon Valley (means limited options when it's time to change jobs)- Cost of living in Venice/Santa Monica is insane. Bay Area prices.Less Egregious Cons:- Working by Venice beach can actually be pretty annoying, loud, or even scary- If you didn't join the company early enough to get a parking spot, you have to park in a lot 1 mile away and take a (free) shuttle to the office. The shuttle starts going back to the lot in the evening at 6pm. Good luck getting home if you need to leave before that (but you won't need to leave before 6, because you'll be too scared to ask)","Wrangle in the CEO. No one wants to be cussed at or threatened at work.Get someone to head up HR who can deconstruct the toxic culture and build something awesome.Treat your employees like you actually trust them: let them work from home when they need/want, let them know what the company is working on so they can be excited, celebrate victories and milestones,Stop the fake, overly curated reviews on Glassdoor. Try ACTUALLY making it a great place to work, then we won't have to lie about it.",1.0,1.0,1.0,1.0,1.0,1.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW6328062.htm
33," May 25, 2015",empReview_6698830,Current Employee - Content Analyst,I have been working at Snap part-time,Content Analyst,Great pay for the workFlexible workEntertaining job,No advancement positionsCan become boring at times,None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW6698830.htm
34," May 1, 2015",empReview_6491153,Current Employee - Designer,I have been working at Snap full-time (More than a year),Great place to work with a bright future :),"Amazing colleagues, the ability to work on many different projects at once, the location is incredible. I actually have people I consider friends here and we're all very supportive of each other.","Growing very fast, and it sometimes feels too fast. I miss knowing everyone, but that's a part of a growing company. So pretty much classic startup growing pains.","Be very wary that we are a growing company, and try to maintain that perspective as we continue to grow. Try to hold onto the values and culture we had as a smaller startup, and carry them through as we expand. It's what makes us special :)",5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW6491153.htm
35," May 28, 2015",empReview_6726428,Current Employee - Anonymous Employee,I have been working at Snap full-time (Less than a year),"Rapidly growing, challenging, (very) unstructured fun","- Rapidly growing, fun product that users love- Super fast pace development and innovation- Cool secret labs projects- Extremely smart and curious employees- Great pay and benefits- HQ is on the beach in the perfect climate / weather / location- Everyone cares about your success and is there to support you","- Campus is a bit spread out so it can be hard to know what everyone else is working on without a lot of overcommunication- We used to do really poor job at comms and PR. We get a lot of hate thrown at us in the media because of things like what our founder said when he was in college, what disgruntled (fired) employees have said publicly against us, etc. Sometimes it seems like everyone want us to fail and we play the villain, even from other tech companies who are usually so supportive and collaborative (they probably don't like that we hire their engineers). It can be annoying and disparaging to hear good people say such bad things about a place you know to be awesome.- Still figuring out things like facilities and benefits as we outgrow what we have. No big deal, but it's not the Googleplex for those who want to be pampered","Please do a better job with comms and PR -- the world should know how great Snapchat is internally. Hire role models. Ensure communication channels stay open, make changes to easy-to-fix things like vacation policy, keep innovating.",5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW6726428.htm
36," Apr 16, 2015",empReview_6364914,Current Employee - Software Engineer,I have been working at Snap full-time (Less than a year),Great place to work for engineers. Why didn't I think of working on the beach sooner?,- Large and passionate user base- Huge projects- Huge impact- Equity- Office on the beach- Free lunch & dinner- Snacks and drinks- Super smart coworkers- Super passionate coworkers- Happy hours/Social events- Awesome swag- Great guest speakers,- Some churn in direction- Some frail systems to maintain,None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW6364914.htm
37," Apr 16, 2015",empReview_6362972,Current Employee - Software Engineer,I have been working at Snap full-time (Less than a year),Wonderful experience to be part of a passionate and fun loving team.,"- Interview Experience: Unlike other big name companies, the entire interview process was very smooth, quick and well structured. It took me about 2 weeks from the time the recruiter first contacted me to the time I got the offer. The recruiters were really prompt on following up on all the minor details, very adjustable to scheduling and quick to respond on interview results. The overall interview experience itself was unique where I had my lunch interviewer take me for a walk by the beach after having lunch with the entire team. The interviews were very similar to what you expect at any top tech company but I really liked the fact that I was allowed to code in an IDE of my choice instead of writing on white board.- On-boarding process: The new hire on-boarding process is brief and to the point. It was a sweet surprise to see that people already know you by name when you are taken for walk around the campus buildings.- Engineering team: The engineering team is well organized and well structured. Its a great opportunity to do full stack development where you are allowed to work on features end to end. There is a strong sense of ownership and commitment to deliver features. Every team has a good mix of junior and senior developers. Since it is such a small team and the product is growing continuously, there are plenty of opportunities to showcase your potential and grow.- Work: Because of the unique and ephemeral nature of the product, the work is really challenging and interesting. It's good to have your entire day focussed on solving the problem as I spend less than 30 minutes a day on emails and meetings. It also allows me to get work done quickly and leave early.- Office space: Although, I was initially skeptical about working in an office space right by the beach, I have started to really like it now. Its literally a beach house transferred to office space and it has all the amenities with an amazing view from the roof top and the deck. Whenever I see myself getting stuck in a problem, I tend to go for a walk by the beach to the shore and refresh myself. Sometimes, we just go out and relax ourselves with a game of volley ball. The office staff are really kind and there is security people in and around the building 24X7.- Food: It's really great that I can turn up at work and not worry about cooking lunch or dinner as food is prepared by the chef daily and the entire team has lunch together. If you want to eat outside, there is also an option to eat at a few handpicked restaurants just by showing your badge.- Transparency: Every engineering team meets with the leadership team on weekly basis where we are told about all the different things happening within the company - new features, growth, monetization strategy, etc. It is quite amazing to see the level of business details shared with the engineering team.- Compensation: The base pay is comparable to any other top tech companies and no other tech company can match the equity portion provided here.",- Staying at Venice can be a little expensive- Continued growth means that the cafeteria is getting crowded during lunch and dinner. It might be worth considering having another one.- Easier to get distracted by events happening at the beach.,Keep up the good work and ensure that the culture of snapchat remains intact as we continue to grow.,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW6362972.htm
38," May 1, 2015",empReview_6486086,Current Employee - Anonymous Employee,None,Exciting as can be,"Working at Snapchat is never boring. There are few companies in the world where you can have as big an impact on the culture that you live in. The people at Snapchat are brilliant, friendly, and inspiring.","At Snapchat people work hard and sometimes struggle to find a good work/life balance. Though there are no rules on when to come in and when to leave, most employees are self motivated enough to get in early and stay late.",Management at Snapchat is always pushing employees to do what they thought was impossible. This often results in accomplishments that far surpass what people thought was possible.,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW6486086.htm
39," Apr 15, 2015",empReview_6351823,Current Employee - Anonymous Employee,I have been working at Snap full-time (Less than a year),Excellent place to work with top-notch colleagues and excellent environment,"1. Building and improving a great product with a fast growing user base.2. A top-notch engineering environment. I enjoyed working with a lot of brilliant colleagues every day.3. Actively listening to users' feedbacks and reacting to them very quickly4. Excellent working environment, right next to the Venice Beach. I've worked in a number of companies before and this is the best working place so far.","Not much that I am aware of. Probably try to find more good people to join the company, and work on this great product together.",The engineering team has done a lot of amazing work internally. It will be great to consider sharing some of those experience and practice back to the community.,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW6351823.htm
40," Apr 21, 2015",empReview_6404745,Current Employee - Anonymous Employee,None,The best experience of my professional career thus far.,"Snapchat has been the best experience of my professional career thus far. It is a true start-up, but without the risks. No job is too small or too large, and the amount of impact and influence you have in your role (whether you're an intern or an exec) is infinite. It's a collaborative and friendly environment, and the organization truly values and invests in the individuals.The work is fast paced and challenging and you're surrounded by the most intelligent individuals on a daily basis. If you're looking for growth and excitement, you will find it at Snapchat.","Hours can be long and the workload can be heavy. I don't necessarily see this as a con, however, as the growth potential as an individual due to these two factors is bigger than I've seen at most companies.Also note that Snapchat is not the kind of place for someone looking for frills and perks. It's a place to get your hands dirty and there are times where you might be working on projects outside of your day-to-day responsibilities. For some, like myself, I love this. For others, this can be frustrating and if you're the type of person that's looking for routine and predictability, this place probably isn't for you. Snapchat requires flexibility and a team oriented mentality.","Continue to enable, encourage and invest in the talent. As the organization grows, would love to see the culture stay intact. Also given the rapid growth, would like to see us stay away from becoming too process driven, as some organizations move in this direction.",5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW6404745.htm
41," Jan 2, 2016",empReview_9049806,Current Employee - Anonymous Employee,None,Data Scientist,"aggressive startup, interesting product and good culture","No other offices in other city, country...",None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW9049806.htm
42," Jan 20, 2016",empReview_9276842,Former Employee - Anonymous Employee,I worked at Snap full-time,Content Moderator,"There is a cool and very open environment which enables you to collaborate well with your coworkers. The people are fun to work with, and the perks are great (fully-stocked kitchen).","The hours were very random, and sometimes ran from midnight until 6am, or 6am until noon. Also the fun atmosphere sometimes made it hard to focus and get work done.",None,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW9276842.htm
43," Feb 3, 2016",empReview_9443606,Current Employee - Anonymous Employee,None,Awesome place to work!,"culture, friendly people, location (beachfront), fun products, good benefits, council system","a little disorganized/unstructured, no real campus",None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW9443606.htm
44," Dec 3, 2015",empReview_8817102,Current Employee - Anonymous Employee,I have been working at Snap full-time,Content Analyst,"Awesome culture, great people, fun opportunities",Weird hours but fun to be at work so not too bad,None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW8817102.htm
45," Oct 5, 2015",empReview_8190741,Former Employee - Anonymous Employee,None,Software Developer Intern,A great place to work with a wonderful location with the best weather in the world. A lot of fun and I met a lot of cool people,"A little disorganized at first, but most likely because they were rapidly expanding and were figuring things out along the way",None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW8190741.htm
